Plant.Id,State,Fuel.Simplified,Net.Gen,Lat,Lon,FuelType,Plant.Name
2,AL,Hydro,25920,33.46,-87.36,WAT,Bankhead Dam
3,AL,Coal,11387562,31.01,-88.01,BIT,Barry
4,AL,Hydro,560467,32.58,-86.28,WAT,Walter Bouldin Dam
7,AL,Coal,214655,34.01,-85.97,BIT,Gadsden
8,AL,Coal,4652042,33.64,-87.2,BIT,Gorgas
9,TX,Natural Gas,24907,31.76,-106.38,NG,Copper
10,AL,Coal,2249285,32.6,-87.78,BIT,Greene County
11,AL,Hydro,198745,33.78,-86.05,WAT,H Neely Henry Dam
12,AL,Hydro,30242,33.26,-87.45,WAT,Holt Dam
13,AL,Hydro,336479,32.62,-86.25,WAT,Jordan Dam
14,AL,Hydro,358557,33.43,-86.34,WAT,Logan Martin Dam
15,AL,Hydro,557768,32.96,-86.52,WAT,Lay Dam
16,AL,Hydro,289985,32.68,-85.91,WAT,Martin Dam
17,AL,Hydro,465039,32.81,-86.44,WAT,Mitchell Dam
18,AL,Hydro,241085,33.94,-87.11,WAT,Lewis Smith Dam
19,AL,Hydro,193624,32.54,-85.89,WAT,Thurlow Dam
20,AL,Hydro,212172,34.17,-85.75,WAT,Weiss Dam
21,AL,Hydro,117278,32.57,-85.89,WAT,Yates Dam
26,AL,Coal,6578897,33.24,-86.46,BIT,E C Gaston
34,CA,Hydro,28588,39.13,-120.95,WAT,Rollins
38,AL,Hydro,375077,32.1,-87.4,WAT,Millers Ferry
46,AL,Nuclear,27669694,34.7,-87.12,NUC,Browns Ferry
47,AL,Coal,2690708,34.74,-87.85,BIT,Colbert
48,AL,Hydro,740864,34.42,-86.39,WAT,Guntersville
49,AL,Hydro,1439823,34.81,-87.38,WAT,Wheeler Dam
50,AL,Coal,1627447,34.88,-85.76,BIT,Widows Creek
51,LA,Coal,4273045,32.03,-93.57,LIG,Dolet Hills
53,AL,Hydro,3658,31.4,-86.48,WAT,Gantt
54,KY,Natural Gas,367191,37.88,-84.1,NG,J K Smith
55,AL,Hydro,10286,31.36,-86.52,WAT,Point A
56,AL,Coal,1647783,31.49,-87.91,BIT,Charles R Lowman
59,NE,Coal,541762,40.85,-98.35,SUB,Platte
60,NE,Coal,1380537,40.58,-98.31,SUB,Whelan Energy Center
62,AK,Hydro,27012,58.32,-134.1,WAT,Annex Creek
63,AK,Hydro,6465,58.31,-134.42,WAT,Gold Creek
65,AK,Hydro,31260,58.33,-134.46,WAT,Salmon Creek 1
66,AK,Hydro,2578,59.45,-135.31,WAT,Skagway
70,AK,Hydro,61089,55.61,-131.35,WAT,Swan Lake
71,AK,Hydro,128893,57.69,-152.9,WAT,Terror Lake
75,AK,Natural Gas,47759,61.22,-149.87,NG,Anchorage 1
77,AK,Hydro,92243,61.48,-149.15,WAT,Eklutna Hydro Project
78,AK,Hydro,278023,58.14,-133.74,WAT,Snettisham
79,AK,Coal,198296,64.85,-147.74,SUB,Aurora Energy LLC Chena
84,AK,Hydro,23133,55.34,-131.63,WAT,Ketchikan
87,NM,Coal,1368602,35.42,-108.08,SUB,Escalante
88,NY,Hydro,11879,41.95,-74.21,WAT,Ashokan
91,AK,Hydro,13476,56.81,-132.96,WAT,Petersburg
96,AK,Natural Gas,381942,61.19,-151.04,NG,Beluga
99,WA,Natural Gas,39924,48.46,-122.44,NG,Frederickson
100,AZ,Hydro,570,33.47,-111.78,WAT,South Consolidated
104,CA,Hydro,80397,37.15,-119.26,WAT,J S Eastwood
108,KS,Coal,1443465,37.93,-100.97,SUB,Holcomb
113,AZ,Coal,5522941,34.94,-110.3,SUB,Cholla
116,AZ,Natural Gas,107211,33.42,-111.91,NG,Ocotillo
117,AZ,Natural Gas,1799154,33.44,-112.16,NG,West Phoenix
118,AZ,Natural Gas,18144,32.55,-111.3,NG,Saguaro
120,AZ,Natural Gas,330414,32.72,-114.71,NG,Yucca
124,AZ,Natural Gas,4608,32.25,-110.99,NG,Demoss Petrie
126,AZ,Natural Gas,771756,32.16,-110.9,NG,H Wilson Sundt Generating Station
127,TX,Coal,2081937,34.08,-99.18,SUB,Oklaunion
130,SC,Coal,8921964,33.37,-80.11,BIT,Cross
141,AZ,Natural Gas,110469,33.56,-112.22,NG,Agua Fria
145,AZ,Hydro,41225,33.59,-111.34,WAT,Horse Mesa
147,AZ,Natural Gas,872866,33.36,-111.94,NG,Kyrene
148,AZ,Hydro,7977,33.55,-111.44,WAT,Mormon Flat
149,AZ,Hydro,42707,33.67,-111.16,WAT,Roosevelt
150,AZ,Hydro,18766,33.57,-111.54,WAT,Stewart Mountain
152,AZ,Hydro,1139658,35.2,-114.57,WAT,Davis Dam
153,AZ,Hydro,3839205,36.94,-111.48,WAT,Glen Canyon Dam
160,AZ,Coal,1959044,32.06,-109.89,SUB,Apache Station
162,CA,Hydro,2481,37.62,-120.75,WAT,Hickman
165,OK,Coal,3755194,36.19,-95.29,SUB,GREC
166,AR,Hydro,104959,34.44,-93.03,WAT,Carpenter
170,AR,Natural Gas,159628,34.43,-92.9,NG,Lake Catherine
174,AR,Hydro,39000,34.43,-92.89,WAT,Remmel
180,CA,Hydro,2759,40.45,-121.86,WAT,Volta 2
187,AR,Hydro,113294,34.21,-93.11,WAT,Degray
188,AR,Hydro,270873,35.52,-92.0,WAT,Greers Ferry Lake
196,AR,Hydro,249310,36.25,-92.24,WAT,Norfork
197,AR,Hydro,209455,34.57,-93.19,WAT,Blakely Mountain
198,AR,Hydro,1097820,36.36,-92.58,WAT,Bull Shoals
199,AR,Hydro,488434,35.25,-93.17,WAT,Dardanelle
201,AR,Natural Gas,76415,35.46,-93.8,NG,Thomas Fitzhugh
202,AR,Natural Gas,32020,35.26,-91.36,NG,Carl Bailey
204,IL,Nuclear,8663837,40.17,-88.83,NUC,Clinton Power Station
207,FL,Coal,4799223,30.43,-81.55,BIT,St Johns River Power Park
210,KS,Nuclear,8630178,38.24,-95.69,NUC,Wolf Creek Generating Station
214,CA,Hydro,2928,39.22,-120.8,WAT,Alta Powerhouse
215,CA,Hydro,1590,38.07,-120.54,WAT,Angels
217,CA,Hydro,19306,36.91,-119.09,WAT,Balch 1
218,CA,Hydro,51608,36.91,-119.09,WAT,Balch 2
219,CA,Hydro,142826,40.01,-121.25,WAT,Belden
220,CA,Hydro,79157,39.91,-121.33,WAT,Bucks Creek
221,CA,Hydro,73347,40.18,-121.19,WAT,Butt Valley
222,CA,Hydro,82182,40.09,-121.15,WAT,Caribou 1
223,CA,Hydro,220738,40.09,-121.15,WAT,Caribou 2
225,CA,Hydro,866,38.77,-120.81,WAT,Chili Bar
229,CA,Hydro,4043,40.57,-122.02,WAT,Cow Creek
231,CA,Hydro,124142,39.83,-121.41,WAT,Cresta
232,CA,Hydro,42822,39.87,-121.63,WAT,De Sabla
235,CA,Hydro,20904,39.26,-120.77,WAT,Drum 1
236,CA,Hydro,175386,39.26,-120.77,WAT,Drum 2
237,CA,Hydro,62567,39.22,-120.84,WAT,Dutch Flat
238,CA,Hydro,32296,38.79,-120.62,WAT,El Dorado
239,CA,Hydro,164188,38.33,-120.67,WAT,Electra
240,CA,Hydro,35180,36.93,-119.02,WAT,Haas
241,CA,Hydro,14612,38.96,-121.04,WAT,Halsey
242,CA,Hydro,4033,40.27,-121.09,WAT,Hamilton Branch
243,CA,Hydro,22156,40.93,-121.54,WAT,Hat Creek 1
244,CA,Hydro,30899,40.96,-121.55,WAT,Hat Creek 2
248,CA,Hydro,15099,40.4,-121.97,WAT,Inskip
249,CA,Hydro,398101,40.99,-121.98,WAT,James B Black
253,CA,Hydro,9150,40.68,-121.87,WAT,Kilarc
255,CA,Hydro,4301,39.7,-121.57,WAT,Lime Saddle
260,CA,Natural Gas,3909727,36.8,-121.78,NG,Dynegy Moss Landing Power Plant
261,CA,Hydro,6187,38.15,-120.45,WAT,Murphys
264,CA,Hydro,4842,38.03,-120.33,WAT,Phoenix
265,CA,Hydro,147084,40.99,-121.5,WAT,Pit 1
266,CA,Hydro,237705,41.0,-121.75,WAT,Pit 3
267,CA,Hydro,229977,40.99,-121.85,WAT,Pit 4
