"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1",2,"Bankhead Dam","AL",25920,"","0","WAT",33.46,-87.36
"2",3,"Barry","AL",2464536,"mcf","770,956","BIT",31.01,-88.01
"3",3,"Barry","AL",4318717,"mcf","46,149,030","BIT",31.01,-88.01
"4",3,"Barry","AL",4559961,"short tons","2,153,948","BIT",31.01,-88.01
"5",3,"Barry","AL",44348,"mcf","446,649","BIT",31.01,-88.01
"6",4,"Walter Bouldin Dam","AL",560467,"","0","WAT",32.58,-86.28
"7",7,"Gadsden","AL",15645,"short tons","8,217","BIT",34.01,-85.97
"8",7,"Gadsden","AL",199010,"mcf","2,666,874","BIT",34.01,-85.97
"9",7,"Gadsden","AL",0,"short tons","0","BIT",34.01,-85.97
"10",8,"Gorgas","AL",4637793,"short tons","1,947,751","BIT",33.64,-87.2
"11",8,"Gorgas","AL",14249,"barrels","25,217","BIT",33.64,-87.2
"12",9,"Copper","TX",0,"barrels","0","NG",31.76,-106.38
"13",9,"Copper","TX",24907,"mcf","432,149","NG",31.76,-106.38
"14",10,"Greene County","AL",3789,"barrels","10,485","BIT",32.6,-87.78
"15",10,"Greene County","AL",37848,"mcf","613,942","BIT",32.6,-87.78
"16",10,"Greene County","AL",2197201,"short tons","956,070","BIT",32.6,-87.78
"17",10,"Greene County","AL",10447,"mcf","104,138","BIT",32.6,-87.78
"18",10,"Greene County","AL",0,"short tons","0","BIT",32.6,-87.78
"19",11,"H Neely Henry Dam","AL",198745,"","0","WAT",33.78,-86.05
"20",12,"Holt Dam","AL",30242,"","0","WAT",33.26,-87.45
"21",13,"Jordan Dam","AL",336479,"","0","WAT",32.62,-86.25
"22",14,"Logan Martin Dam","AL",358557,"","0","WAT",33.43,-86.34
"23",15,"Lay Dam","AL",557768,"","0","WAT",32.96,-86.52
"24",16,"Martin Dam","AL",289985,"","0","WAT",32.68,-85.91
"25",17,"Mitchell Dam","AL",465039,"","0","WAT",32.81,-86.44
"26",18,"Lewis Smith Dam","AL",241085,"","0","WAT",33.94,-87.11
"27",19,"Thurlow Dam","AL",193624,"","0","WAT",32.54,-85.89
"28",20,"Weiss Dam","AL",212172,"","0","WAT",34.17,-85.75
"29",21,"Yates Dam","AL",117278,"","0","WAT",32.57,-85.89
"30",26,"E C Gaston","AL",229,"barrels","833","BIT",33.24,-86.46
"31",26,"E C Gaston","AL",6366163,"short tons","2,795,687","BIT",33.24,-86.46
"32",26,"E C Gaston","AL",14629,"barrels","25,877","BIT",33.24,-86.46
"33",26,"E C Gaston","AL",197876,"mcf","1,944,494","BIT",33.24,-86.46
"34",30,"Madelia","MN",-208,"barrels","25",NA,NA,NA
"35",30,"Madelia","MN",0,"mcf","0",NA,NA,NA
"36",34,"Rollins","CA",28588,"","0","WAT",39.13,-120.95
"37",38,"Millers Ferry","AL",375077,"","0","WAT",32.1,-87.4
"38",46,"Browns Ferry","AL",9455321,"","0","NUC",34.7,-87.12
"39",46,"Browns Ferry","AL",8591320,"","0","NUC",34.7,-87.12
"40",46,"Browns Ferry","AL",9623053,"","0","NUC",34.7,-87.12
"41",47,"Colbert","AL",-154,"barrels","1,021","BIT",34.74,-87.85
"42",47,"Colbert","AL",5333,"mcf","107,478","BIT",34.74,-87.85
"43",47,"Colbert","AL",2674438,"short tons","1,372,419","BIT",34.74,-87.85
"44",47,"Colbert","AL",10937,"barrels","20,202","BIT",34.74,-87.85
"45",47,"Colbert","AL",0,"short tons","0","BIT",34.74,-87.85
"46",48,"Guntersville","AL",740864,"","0","WAT",34.42,-86.39
"47",49,"Wheeler Dam","AL",1439823,"","0","WAT",34.81,-87.38
"48",50,"Widows Creek","AL",1626644,"short tons","781,803","BIT",34.88,-85.76
"49",50,"Widows Creek","AL",803,"barrels","1,573","BIT",34.88,-85.76
"50",51,"Dolet Hills","LA",4255308,"short tons","3,593,100","LIG",32.03,-93.57
"51",51,"Dolet Hills","LA",17737,"mcf","195,354","LIG",32.03,-93.57
"52",51,"Dolet Hills","LA",0,"mcf","0","LIG",32.03,-93.57
"53",53,"Gantt","AL",3658,"","0","WAT",31.4,-86.48
"54",54,"J K Smith","KY",73,"barrels","243","NG",37.88,-84.1
"55",54,"J K Smith","KY",367191,"mcf","4,167,015","NG",37.88,-84.1
"56",55,"Point A","AL",10286,"","0","WAT",31.36,-86.52
"57",56,"Charles R Lowman","AL",1638953,"short tons","808,555","BIT",31.49,-87.91
"58",56,"Charles R Lowman","AL",8830,"barrels","18,555","BIT",31.49,-87.91
"59",59,"Platte","NE",588,"barrels","1,131","SUB",40.85,-98.35
"60",59,"Platte","NE",541174,"short tons","360,619","SUB",40.85,-98.35
"61",60,"Whelan Energy Center","NE",2004,"barrels","3,830","SUB",40.58,-98.31
"62",60,"Whelan Energy Center","NE",0,"barrels","0","SUB",40.58,-98.31
"63",60,"Whelan Energy Center","NE",1378533,"short tons","890,005","SUB",40.58,-98.31
"64",62,"Annex Creek","AK",27012,"","0","WAT",58.32,-134.1
"65",63,"Gold Creek","AK",6465,"","0","WAT",58.31,-134.42
"66",63,"Gold Creek","AK",21,"barrels","50","WAT",58.31,-134.42
"67",64,"Lemon Creek","AK",100,"barrels","371",NA,NA,NA
"68",64,"Lemon Creek","AK",193,"barrels","354",NA,NA,NA
"69",65,"Salmon Creek 1","AK",31260,"","0","WAT",58.33,-134.46
"70",66,"Skagway","AK",2578,"","0","WAT",59.45,-135.31
"71",66,"Skagway","AK",-67,"barrels","296","WAT",59.45,-135.31
"72",69,"Haines","AK",-156,"barrels","230",NA,NA,NA
"73",70,"Swan Lake","AK",61089,"","0","WAT",55.61,-131.35
"74",71,"Terror Lake","AK",128893,"","0","WAT",57.69,-152.9
"75",72,"Venice Hydro","CA",0,"","0",NA,NA,NA
"76",75,"Anchorage 1","AK",23,"barrels","50","NG",61.22,-149.87
"77",75,"Anchorage 1","AK",47759,"mcf","569,708","NG",61.22,-149.87
"78",75,"Anchorage 1","AK",0,"barrels","18","NG",61.22,-149.87
"79",77,"Eklutna Hydro Project","AK",92243,"","0","WAT",61.48,-149.15
"80",78,"Snettisham","AK",278023,"","0","WAT",58.14,-133.74
"81",79,"Aurora Energy LLC Chena","AK",0,"short tons","0","SUB",64.85,-147.74
"82",79,"Aurora Energy LLC Chena","AK",0,"barrels","0","SUB",64.85,-147.74
"83",79,"Aurora Energy LLC Chena","AK",198296,"short tons","226,214","SUB",64.85,-147.74
"84",79,"Aurora Energy LLC Chena","AK",0,"short tons","0","SUB",64.85,-147.74
"85",84,"Ketchikan","AK",23133,"","0","WAT",55.34,-131.63
"86",85,"S W Bailey","AK",-968,"barrels","1,622",NA,NA,NA
"87",87,"Escalante","NM",4604,"mcf","48,902","SUB",35.42,-108.08
"88",87,"Escalante","NM",1363998,"short tons","817,932","SUB",35.42,-108.08
"89",88,"Ashokan","NY",11879,"","0","WAT",41.95,-74.21
"90",90,"Snake River","AK",29272,"barrels","45,198",NA,NA,NA
"91",90,"Snake River","AK",2,"","0",NA,NA,NA
"92",91,"Petersburg","AK",12669,"","0","WAT",56.81,-132.96
"93",91,"Petersburg","AK",807,"barrels","1,476","WAT",56.81,-132.96
"94",92,"Seward (AK)","AK",386,"barrels","674",NA,NA,NA
"95",93,"Blue Lake Hydro","AK",59501,"","0",NA,NA,NA
"96",95,"Wrangell","AK",614,"barrels","1,488",NA,NA,NA
"97",96,"Beluga","AK",44344,"mcf","0","NG",61.19,-151.04
"98",96,"Beluga","AK",144474,"mcf","1,784,501","NG",61.19,-151.04
"99",96,"Beluga","AK",193124,"mcf","3,050,879","NG",61.19,-151.04
"100",99,"Frederickson","WA",11,"barrels","40","NG",48.46,-122.44
"101",99,"Frederickson","WA",39924,"mcf","838,286","NG",48.46,-122.44
"102",100,"South Consolidated","AZ",570,"","0","WAT",33.47,-111.78
"103",104,"J S Eastwood","CA",80397,"","1,774","WAT",37.15,-119.26
"104",108,"Holcomb","KS",5771,"mcf","112,112","SUB",37.93,-100.97
"105",108,"Holcomb","KS",1437694,"short tons","878,595","SUB",37.93,-100.97
"106",109,"Dillingham","AK",18127,"barrels","29,959",NA,NA,NA
"107",113,"Cholla","AZ",0,"short tons","0","SUB",34.94,-110.3
